date,lat,lon,rainfall
2003-08-04,19.375,72.625,
2003-08-04,19.375,72.875,29.363473653793335
2003-08-05,19.125,72.625,
2003-08-05,19.125,72.875,15.720871567726135
2003-08-05,19.375,72.625,
2003-08-05,19.375,72.875,23.33720588684082
2003-08-06,19.125,72.625,
2003-08-06,19.125,72.875,12.146327376365662
2003-08-06,19.375,72.625,
2003-08-06,19.375,72.875,21.11146116256714
2003-08-07,19.125,72.625,
2003-08-07,19.125,72.875,82.30325031280518
2003-08-07,19.375,72.625,
2003-08-07,19.375,72.875,95.71601295471191
2003-08-08,19.125,72.625,
2003-08-08,19.125,72.875,42.59039258956909
2003-08-08,19.375,72.625,
2003-08-08,19.375,72.875,42.96200656890869
2003-08-09,19.125,72.625,
2003-08-09,19.125,72.875,26.73381268978119
2003-08-09,19.375,72.625,
2003-08-09,19.375,72.875,36.235597133636475
2003-08-10,19.125,72.625,
2003-08-10,19.125,72.875,11.67278254032135
2003-08-10,19.375,72.625,
2003-08-10,19.375,72.875,8.1691415309906
2003-08-11,19.125,72.625,
2003-08-11,19.125,72.875,10.057119131088257
2003-08-11,19.375,72.625,
2003-08-11,19.375,72.875,14.598208665847778
2003-08-12,19.125,72.625,
2003-08-12,19.125,72.875,8.406504094600677
2003-08-12,19.375,72.625,
2003-08-12,19.375,72.875,15.068958282470703
2003-08-13,19.125,72.625,
2003-08-13,19.125,72.875,8.946219086647034
2003-08-13,19.375,72.625,
2003-08-13,19.375,72.875,16.33076500892639
2003-08-14,19.125,72.625,
2003-08-14,19.125,72.875,8.162835896015167
2003-08-14,19.375,72.625,
2003-08-14,19.375,72.875,8.757320284843445
2003-08-15,19.125,72.625,
2003-08-15,19.125,72.875,7.826462507247925
2003-08-15,19.375,72.625,
2003-08-15,19.375,72.875,11.645381450653076
2003-08-16,19.125,72.625,
2003-08-16,19.125,72.875,5.337881237268448
2003-08-16,19.375,72.625,
2003-08-16,19.375,72.875,10.069571614265442
2003-08-17,19.125,72.625,
2003-08-17,19.125,72.875,3.7963579893112183
2003-08-17,19.375,72.625,
2003-08-17,19.375,72.875,2.7183825075626373
2003-08-18,19.125,72.625,
2003-08-18,19.125,72.875,4.47032205760479
2003-08-18,19.375,72.625,
2003-08-18,19.375,72.875,0.9053081572055817
2003-08-19,19.125,72.625,
2003-08-19,19.125,72.875,3.703144669532776
2003-08-19,19.375,72.625,
2003-08-19,19.375,72.875,6.616037130355835
2003-08-20,19.125,72.625,
2003-08-20,19.125,72.875,13.160197496414185
2003-08-20,19.375,72.625,
2003-08-20,19.375,72.875,23.748414993286133
2003-08-21,19.125,72.625,
2003-08-21,19.125,72.875,3.9465696215629578
2003-08-21,19.375,72.625,
2003-08-21,19.375,72.875,3.962624490261078
2003-08-22,19.125,72.625,
2003-08-22,19.125,72.875,3.4469670057296753
2003-08-22,19.375,72.625,
2003-08-22,19.375,72.875,5.5747281312942505
2003-08-23,19.125,72.625,
2003-08-23,19.125,72.875,26.729824244976044
2003-08-23,19.375,72.625,
2003-08-23,19.375,72.875,15.843456029891968
2003-08-24,19.125,72.625,
2003-08-24,19.125,72.875,43.26802206039429
2003-08-24,19.375,72.625,
2003-08-24,19.375,72.875,29.803462028503418
2003-08-25,19.125,72.625,
2003-08-25,19.125,72.875,8.498438775539398
2003-08-25,19.375,72.625,
2003-08-25,19.375,72.875,17.683870792388916
2003-08-26,19.125,72.625,
2003-08-26,19.125,72.875,3.2312610745429993
2003-08-26,19.375,72.625,
2003-08-26,19.375,72.875,8.555650115013123
2003-08-27,19.125,72.625,
2003-08-27,19.125,72.875,4.081405282020569
2003-08-27,19.375,72.625,
2003-08-27,19.375,72.875,6.5544198751449585
2003-08-28,19.125,72.625,
2003-08-28,19.125,72.875,8.334189414978027
2003-08-28,19.375,72.625,
2003-08-28,19.375,72.875,6.764699280261993
2003-08-29,19.125,72.625,
2003-08-29,19.125,72.875,13.956525325775146
2003-08-29,19.375,72.625,
2003-08-29,19.375,72.875,15.276104211807251
2003-08-30,19.125,72.625,
2003-08-30,19.125,72.875,24.911365032196045
2003-08-30,19.375,72.625,
2003-08-30,19.375,72.875,23.409324645996094
2003-08-31,19.125,72.625,
2003-08-31,19.125,72.875,16.314256191253662
2003-08-31,19.375,72.625,
2003-08-31,19.375,72.875,21.684107780456543
2003-09-01,19.125,72.625,
2003-09-01,19.125,72.875,3.821255326271057
2003-09-01,19.375,72.625,
2003-09-01,19.375,72.875,6.950176358222961
2003-09-02,19.125,72.625,
2003-09-02,19.125,72.875,6.961709290742874
2003-09-02,19.375,72.625,
2003-09-02,19.375,72.875,8.885919690132141
2003-09-03,19.125,72.625,
2003-09-03,19.125,72.875,5.0122484266757965
2003-09-03,19.375,72.625,
2003-09-03,19.375,72.875,7.215302467346191
2003-09-04,19.125,72.625,
2003-09-04,19.125,72.875,12.88441264629364
2003-09-04,19.375,72.625,
2003-09-04,19.375,72.875,7.015395522117615
2003-09-05,19.125,72.625,
2003-09-05,19.125,72.875,6.731512427330017
2003-09-05,19.375,72.625,
2003-09-05,19.375,72.875,4.185709774494171
2003-09-06,19.125,72.625,
2003-09-06,19.125,72.875,3.1930834501981735
2003-09-06,19.375,72.625,
2003-09-06,19.375,72.875,5.550778865814209
2003-09-07,19.125,72.625,
2003-09-07,19.125,72.875,3.4258345663547516
2003-09-07,19.375,72.625,
2003-09-07,19.375,72.875,8.649486064910889
2003-09-08,19.125,72.625,
2003-09-08,19.125,72.875,4.969493851065636
2003-09-08,19.375,72.625,
2003-09-08,19.375,72.875,7.557752013206482
2003-09-09,19.125,72.625,
2003-09-09,19.125,72.875,3.8896753937005997
2003-09-09,19.375,72.625,
2003-09-09,19.375,72.875,7.3991186916828156
2003-09-10,19.125,72.625,
2003-09-10,19.125,72.875,1.8499199002981186
2003-09-10,19.375,72.625,
2003-09-10,19.375,72.875,1.7867315709590912
2003-09-11,19.125,72.625,
2003-09-11,19.125,72.875,35.29607152938843
2003-09-11,19.375,72.625,
2003-09-11,19.375,72.875,23.35889482498169
2003-09-12,19.125,72.625,
2003-09-12,19.125,72.875,11.42491364479065
2003-09-12,19.375,72.625,
2003-09-12,19.375,72.875,16.73073697090149
2003-09-13,19.125,72.625,
2003-09-13,19.125,72.875,13.655737519264221
2003-09-13,19.375,72.625,
2003-09-13,19.375,72.875,13.680001020431519
2003-09-14,19.125,72.625,
2003-09-14,19.125,72.875,1.4552022144198418
2003-09-14,19.375,72.625,
2003-09-14,19.375,72.875,3.767647847533226
2003-09-15,19.125,72.625,
